title,coffee_type,rating,reviews,seller_name,thumbnail,price,weight,weight_formatted_to_gramms
"folgers classic roast ground coffee, 40.3-ounce",classic roast,3.8,93,walmart.com,https://i5.walmartimages.com/asr/1fbbd523-8554-4a85-8107-2568a125a6d2.2395bc5a9e08e45dc51e62b268776b65.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.92,40.3-ounce,1142.5
"café bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,walmart.com,https://i5.walmartimages.com/asr/99a53df0-0471-4b63-abe7-d6b8d314ebec_1.bbbb1a66318deade7f16115f60ac8725.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,3.76,10 oz,283.5
"folgers classic roast ground coffee, medium roast coffee, 25.9 ounce canister","medium roast,classic roast",4.4,740,walmart.com,https://i5.walmartimages.com/asr/e6aba325-608e-4838-a29d-d63e965a4d85.60c763c73d203bef88f34a464124bcb9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,9.97,25.9 ounce,734.3
"maxwell house original roast ground coffee, 42.5 oz. canister",,4.8,1321,walmart.com,https://i5.walmartimages.com/asr/a5be9586-b75d-4219-87d1-b29bf82884f9.5d9e86a8745c9187bb1285666576a6ac.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,9.92,42.5 oz,1204.9
"great value classic roast medium ground coffee, value size, 48 oz",classic roast,4.7,1598,walmart.com,https://i5.walmartimages.com/asr/de42310c-4cd6-443c-9a54-59a4d891a345.e91589e9f06a134831c5b6a87e5bc5e5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,9.98,48 oz,1360.8
"great value classic roast medium ground coffee, 30.5 oz",classic roast,4.2,263,walmart.com,https://i5.walmartimages.com/asr/5cca074e-b983-425f-9fe5-31758007baa3.2204d1bd4c882c3fc4577f6f801532b9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,7.98,30.5 oz,864.7
"caf bustelo, espresso style dark roast ground coffee, vacuum-packed 10 oz. brick","espresso,dark roast",4.7,914,walmart.com,https://i5.walmartimages.com/asr/99a53df0-0471-4b63-abe7-d6b8d314ebec_1.bbbb1a66318deade7f16115f60ac8725.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.76,10 oz,283.5
xhao reusable capsules easy to clean easy to use 304 stainless steel stainless steel reusable capsules for coffee,,0,0,joybuy selection,https://i5.walmartimages.com/asr/5aa587bd-9757-4519-a8b5-96815110f0aa.d9fb3e4f09f930746533117d4fa74ec4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.89,not mentioned,283.5
"black rifle coffee tactisquatch, dark roast, ground coffee,12 oz","black rifle coffee,dark roast",3,6,walmart.com,https://i5.walmartimages.com/asr/3375431c-e441-4c78-b3b3-7b0008bab6d0.ff0f60c8dafd2c9b1d8c838eb6783a46.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12.98,12 oz,340.2
"black rifle coffee just black whole bean coffee, medium roast, 10.6 oz","medium roast,black rifle coffee",3.7,10,walmart.com,https://i5.walmartimages.com/asr/30b5d87d-956b-4e08-9e11-d15477e34263.185192df33ea9448bc14a1365660b9ce.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,12.98,10.6 oz,300.5
"folgers black silk ground coffee, smooth dark roast coffee, 33.7ounce canister","black silk ground coffee,dark roast",4.9,20,walmart.com,https://i5.walmartimages.com/asr/8c6786c1-a461-4b3a-8f6c-74fef1f9670e.4a470d061fddfe4a7bc715d5be53f534.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,13.98,33.7ounce,955.4
"folgers black silk ground coffee, smooth dark roast coffee, 22.6ounce canister","black silk ground coffee,dark roast",4.6,11,walmart.com,https://i5.walmartimages.com/asr/5228bf9f-1a75-4d29-a349-d35cbca5d677.b778bf6329691dc97f738308d2b347d4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,10.32,22.6ounce,640.7
"black rifle coffee loyalty roast, light roast, ground coffee, 12 oz","light roast,black rifle coffee",3.8,5,walmart.com,https://i5.walmartimages.com/asr/e9754bce-ff4a-45c2-8a6e-3499267e0a88.9e1f52ccc83cc022e4b3344eade55896.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12.98,12 oz,340.2
"black rifle coffee freedom fuel, dark roast, ground coffee,12 oz","black rifle coffee,dark roast",4.3,6,walmart.com,https://i5.walmartimages.com/asr/d7fd768f-8d7b-432b-9374-3451fb972376.ebdc0be89b0f4f789933a4b9f687c70a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12.98,12 oz,340.2
"black rifle coffee kodiak attack, medium roast, ground coffee, 12 oz","medium roast,black rifle coffee",3.7,3,walmart.com,https://i5.walmartimages.com/asr/f6032d9b-a2c8-4c2f-835f-73ebf4a5f7c4.f88e34e237887f16b7b574f4521ed5f1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12.98,12 oz,340.2
